City,Country,Longitude,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
kurgunta,IN,77.35,17.2,68.81,69,0,7.99
vallenar,CL,-70.7581,-28.5708,84.56,27,0,9.57
rock sound,BS,-76.2,24.9,71.49,75,86,31.45
mandera,KE,41.867,3.9366,83.53,20,1,9.53
manokwari,ID,134.0833,-0.8667,78.04,80,100,10.83
estreito,BR,-43.25,-5.7833,75.74,90,100,1.63
bad rappenau,DE,9.1025,49.2406,51.04,82,86,17.07
kenai,US,-151.2583,60.5544,21.85,86,90,18.41
kismayo,SO,42.5454,-0.3582,77.63,83,0,14.74
jinan,CN,116.9972,36.6683,36.0,30,0,1.01
kiama,AU,150.8667,-34.6833,66.16,88,100,5.99
sheridan,US,-106.9173,44.8333,43.25,36,1,5.75
luanda,AO,13.2343,-8.8368,80.6,83,40,6.91
coruripe,BR,-36.1756,-10.1256,78.85,77,41,10.58
kingsport,US,-82.5618,36.5484,32.16,51,40,8.05
sambava,MG,50.1667,-14.2667,78.8,81,28,2.75
mujiayingzi,CN,118.7833,42.1167,-6.61,81,2,3.78
benghazi,LY,20.0667,32.1167,56.12,63,15,11.07
port hedland,AU,118.5667,-20.3167,77.0,88,0,8.05
havre-saint-pierre,CA,-63.5986,50.2334,17.6,57,1,4.61
zhigansk,RU,123.3711,66.7697,-53.05,74,55,5.21
jibuti,DJ,42.5,11.5,73.4,73,20,3.44
broome,US,-75.833,42.2506,14.29,62,40,17.27
grahamstown,ZA,26.5328,-33.3042,66.99,76,0,4.0
kiruna,SE,20.2251,67.8557,8.6,92,90,5.75
yelan,RU,43.7378,50.949,24.85,98,100,5.5
huanren,CN,125.3667,41.2647,-5.94,87,52,2.04
fort-shevchenko,KZ,50.263,44.5086,45.77,74,100,21.56
wewak,PG,143.6268,-3.5534,78.49,81,96,4.23
imbituba,BR,-48.6703,-28.24,78.8,89,75,10.36
terrace bay,CA,-87.1,48.7834,10.4,56,1,2.3
zhangjiakou,CN,114.8794,40.81,14.43,73,0,3.78
nyurba,RU,118.3319,63.2842,-46.46,77,100,2.82
san alberto,CO,-73.3922,7.7611,93.29,38,31,4.63
marsh harbour,BS,-77.0636,26.5412,66.36,67,32,30.18
flic en flac,MU,57.3631,-20.2742,76.15,94,75,5.75
kinablangan,PH,126.5503,7.6947,78.13,83,100,13.98
verkhnyaya inta,RU,60.3094,65.9811,-28.37,85,60,2.71
mandalgovi,MN,106.2708,45.7625,11.95,86,14,18.28
champasak,LA,106.0,14.75,64.09,73,52,1.05
buraydah,SA,43.975,26.326,66.2,59,40,2.3
ursulo galvan,MX,-98.3,22.7333,75.36,38,85,1.99
christchurch,NZ,172.6333,-43.5333,54.97,58,2,13.8
safford,US,-109.7076,32.834,53.96,33,1,10.36
prainha,BR,-53.48,-1.8,85.33,63,79,3.98
elk plain,US,-122.3976,47.0532,43.93,76,75,3.02
vostok,RU,135.8833,46.4856,-7.11,92,100,3.62
cerro largo,BR,-54.7381,-28.1486,75.0,87,12,4.07
brezno,SK,19.6363,48.8043,27.0,63,100,1.88
alto longa,BR,-42.2103,-5.2511,78.24,86,100,3.27
kieta,PG,155.6333,-6.2167,81.84,80,98,12.86
faratsiho,MG,46.95,-19.4,58.75,95,0,3.44
shache,CN,77.2406,38.4167,21.43,84,0,2.21
timmins,CA,-81.3331,48.4669,3.2,66,90,10.36
brandenburg,DE,12.55,52.4167,29.68,79,99,3.44
krasnoarmeysk,RU,45.6969,51.0239,21.0,86,100,3.0
northam,GB,-4.2167,51.0333,50.67,97,100,14.0
lixourion,GR,20.4314,38.2019,49.87,56,49,11.36
inhambane,MZ,35.3833,-23.865,79.56,87,2,7.38
trairi,BR,-39.2689,-3.2778,80.56,75,100,11.7
arman,RU,150.1667,59.7,-16.44,78,0,9.46
rawson,AR,-65.1023,-43.3002,71.37,29,54,13.82
arroio dos ratos,BR,-51.7292,-30.0772,76.33,73,75,13.8
pozo colorado,PY,-58.7972,-23.4923,92.39,44,64,4.12
poum,NC,164.0167,-20.2333,80.33,77,10,10.4
hualmay,PE,-77.6139,-11.0964,75.85,65,4,11.34
vila franca do campo,PT,-25.4333,37.7167,62.82,94,75,21.85
xuddur,SO,43.8894,4.1213,73.06,58,0,16.78
san cristobal,VE,-72.225,7.7669,86.0,54,20,11.5
panalingaan,PH,117.4231,8.7842,77.45,81,96,5.06
chernihiv,UA,32.0,51.0,30.54,99,100,8.41
coihaique,CL,-72.0662,-45.5752,57.2,54,40,8.05
kaeo,NZ,173.7833,-35.1,68.0,55,5,11.99
eldorado,BR,-54.2836,-23.7869,79.02,84,99,7.29
nabire,ID,135.4833,-3.3667,74.88,91,100,2.21
laguna,US,-121.4238,38.421,48.52,93,90,11.5
haines junction,CA,-137.5108,60.7522,-18.4,76,100,1.14
khandyga,RU,135.6,62.6667,-54.87,67,90,0.43
touho,NC,165.2333,-20.7833,79.43,81,73,20.87
polonnaruwa,LK,81.0,7.9333,71.78,92,95,1.3
taybad,IR,60.7756,34.74,47.39,44,1,12.55
sovetskiy,RU,63.5842,61.3614,3.11,95,49,3.83
berezovyy,RU,135.7,51.6667,-17.5,81,0,2.8
carbondale,US,-89.2168,37.7273,30.04,59,1,5.55
julio de castilhos,BR,-53.6817,-29.2269,71.6,100,90,6.91
lucapa,AO,20.7447,-8.4192,65.07,84,82,1.79
kurchum,KZ,83.6542,48.5722,-4.4,92,0,1.14
kathmandu,NP,85.3167,27.7167,42.8,87,20,2.3
yushan,CN,120.9543,31.3776,34.29,60,0,6.71
lishu,CN,124.3278,43.3047,-16.51,85,0,5.46
altay,CN,88.1167,47.8667,1.54,76,0,1.32
djambala,CG,14.7533,-2.5447,70.47,82,56,0.83
coolum beach,AU,153.1,-26.5333,76.3,79,43,1.99
ibanda,TZ,32.4746,-2.7974,73.4,78,20,2.91
santa marta,CO,-74.199,11.2408,87.01,60,30,15.01
the valley,AI,-63.0578,18.217,80.64,65,20,11.5
longyearbyen,SJ,15.6401,78.2186,-4.0,54,20,25.32
magadan,RU,150.8,59.5667,-16.38,78,7,10.22
marakkanam,IN,79.95,12.2,74.77,78,10,9.24
sorland,NO,12.6934,67.667,24.8,68,20,9.22
atasu,KZ,71.6433,48.6814,16.09,88,0,3.98
contamana,PE,-75.0167,-7.3333,91.44,50,61,8.28
ledyard,US,-72.0142,41.4398,32.0,59,90,16.11
mehamn,NO,27.8492,71.0357,21.2,73,0,18.41
tolaga bay,NZ,178.3,-38.3667,62.13,69,85,12.24
brae,GB,-1.353,60.3964,30.2,74,20,10.36
nouadhibou,MR,-17.0347,20.931,73.4,56,0,6.91
boffa,GN,-14.0333,10.1667,73.8,84,0,4.59
wahiawa,US,-158.0236,21.5028,74.34,78,90,11.5
kem,RU,34.5793,64.9555,15.13,97,100,8.21
orbetello,IT,11.2196,42.4408,48.2,87,75,3.44
gunjur,GM,-16.7339,13.2019,77.0,44,0,16.17
hamilton,US,-84.5333,39.1834,28.96,51,90,9.22
olavarria,AR,-60.3225,-36.8927,85.75,15,100,11.03
henties bay,NA,14.2845,-22.116,65.95,80,0,5.82
